# h,k,F.real,F.imag
6, -5, 1.276756e-15, 4.274359e-15
6, -4, 1.302406e+01, -2.553513e-15
6, -3, -2.775558e-15, -3.219647e-15
6, -2, 6.305923e+00, 6.661338e-16
6, -1, 3.330669e-16, -1.110223e-16
6, 0, 4.629738e+00, 7.771561e-15
6, 1, -2.220446e-16, 4.385381e-15
6, 2, 6.305923e+00, -4.329870e-15
6, 3, -2.187139e-14, 6.994405e-15
6, 4, 1.302406e+01, -1.765255e-14
6, 5, 1.465494e-14, -7.216450e-16
6, 6, 1.509370e+01, -2.026157e-14
6, 7, -8.344020e-16, 6.106227e-15
6, 8, 5.809660e+00, -1.615375e-14
6, 9, 1.665335e-15, 2.832456e-14
6, 10, -1.931619e+00, 1.193490e-14
6, 11, 6.494805e-15, 5.273559e-15
6, 12, 1.737888e+00, -3.497203e-15
6, 13, -3.941292e-15, 3.108624e-15
6, 14, 7.417144e+00, -1.890155e-14
7, -14, -3.386180e-15, -6.800116e-16
7, -13, -1.071365e-14, -7.216450e-16
7, -12, -8.326673e-16, 4.579670e-15
7, -11, 1.998401e-15, 8.465451e-16
7, -10, 2.498002e-15, 3.885781e-15
7, -9, -3.733125e-15, 1.776357e-15
7, -8, 3.441691e-15, -4.884981e-15
7, -7, 4.496403e-15, -5.551115e-17
7, -6, -2.886580e-15, 4.662937e-15
7, -5, -5.481726e-15, -5.329071e-15
7, -4, -1.071365e-14, 1.576517e-14
7, -3, -5.551115e-16, -2.775558e-15
7, -2, -5.717649e-15, 1.221245e-15
7, -1, 7.494005e-15, -1.443290e-15
7, 0, 9.769963e-15, -9.436896e-15
7, 1, 7.105427e-15, -3.441691e-15
7, 2, -1.101896e-14, 5.440093e-15
7, 3, 1.054712e-15, 4.551914e-15
7, 4, -3.042011e-14, 1.861011e-14
7, 5, 4.718448e-15, 1.054712e-15
7, 6, -1.167469e-15, 5.884182e-15
7, 7, 9.436896e-16, -9.825474e-15
7, 8, 6.272760e-15, -3.837208e-15
7, 9, -1.387779e-16, -1.221245e-15
7, 10, 1.690315e-14, 3.386180e-15
7, 11, -3.774758e-15, 2.328693e-14
7, 12, -6.272760e-15, 9.645063e-15
7, 13, 2.470246e-15, -8.604228e-15
7, 14, 7.924217e-15, -2.275957e-15
8, -14, 4.153268e+00, 3.885781e-16
8, -13, 5.842549e-15, -5.551115e-16
8, -12, -2.642425e+00, -1.450229e-15
8, -11, -7.466250e-15, -1.601497e-14
8, -10, 3.129246e+00, 3.164136e-15
8, -9, -4.329870e-15, 6.800116e-15
8, -8, 1.637414e+01, 1.110223e-16
8, -7, 2.775558e-15, 4.718448e-15
8, -6, 5.809660e+00, -2.386980e-15
8, -5, -1.443290e-15, -3.053113e-15
8, -4, -1.290617e+01, 4.496403e-15
8, -3, -3.941292e-15, -3.386180e-15
8, -2, 7.742826e+00, -1.776357e-15
8, -1, -8.659740e-15, 4.718448e-16
8, 0, 3.256857e+01, -3.397282e-14
8, 1, -1.731948e-14, 1.887379e-15
8, 2, 7.742826e+00, -1.337819e-14
8, 3, -1.199041e-14, 1.064426e-14
8, 4, -1.290617e+01, 2.547962e-14
8, 5, 1.258976e-15, 2.275957e-15
8, 6, 5.809660e+00, -1.615375e-14
8, 7, 6.772360e-15, -3.864964e-15
8, 8, 1.637414e+01, -2.386980e-14
8, 9, 4.468648e-15, -1.387779e-15
8, 10, 3.129246e+00, 1.443290e-15
8, 11, -1.082467e-14, 2.327305e-14
8, 12, -2.642425e+00, 5.301315e-15
8, 13, 9.103829e-15, -3.524958e-15
8, 14, 4.153268e+00, -7.722989e-15
9, -14, -1.804112e-15, 2.386980e-15
9, -13, -2.081668e-15, 4.947431e-15
9, -12, 3.136380e-15, 3.774758e-15
9, -11, -2.404327e-15, -3.469447e-15
9, -10, 2.303713e-15, -5.578871e-15
9, -9, -3.219647e-15, 0.000000e+00
9, -8, -4.218847e-15, -6.883383e-15
9, -7, -3.844147e-15, -1.665335e-15
9, -6, -6.661338e-15, 1.146305e-14
9, -5, 1.831868e-15, -2.775558e-17
9, -4, 8.076873e-15, 2.386980e-14
9, -3, 1.193490e-15, -4.829470e-15
9, -2, 2.164935e-15, 2.831069e-15
9, -1, 2.775558e-16, -2.720046e-15
9, 0, -2.306488e-14, -1.343370e-14
9, 1, -1.221245e-15, -1.443290e-15
9, 2, 1.326717e-14, 1.035283e-14
9, 3, -3.330669e-15, 1.831868e-15
9, 4, 1.335824e-14, 6.272760e-15
9, 5, 8.659740e-15, -1.498801e-15
9, 6, 1.887379e-15, 2.840783e-14
9, 7, -1.110223e-16, -1.276756e-15
9, 8, 4.302114e-15, -1.443290e-15
9, 9, 1.554312e-15, 1.304512e-14
9, 10, 2.942091e-15, -2.886580e-15
9, 11, -9.020562e-16, -2.081668e-15
9, 12, 1.169898e-14, 1.026956e-15
9, 13, -1.387779e-16, -7.341350e-15
9, 14, -6.578071e-15, 1.164346e-14
10, -14, -2.825547e+00, 3.635980e-15
10, -13, -4.551914e-15, -2.123302e-15
10, -12, 5.253479e+00, 9.714451e-16
10, -11, -3.219647e-15, -6.328271e-15
10, -10, 1.002012e+01, 0.000000e+00
10, -9, 1.804112e-15, 5.578871e-15
10, -8, 3.129246e+00, -2.997602e-15
10, -7, 2.498002e-15, -3.774758e-15
10, -6, -1.931619e+00, 6.605827e-15
10, -5, 1.165734e-15, 3.885781e-16
10, -4, 3.472546e+00, 4.052314e-15
10, -3, 9.436896e-16, 5.828671e-16
10, -2, 8.532181e+00, -1.101896e-14
10, -1, 7.355228e-16, 1.998401e-15
10, 0, 8.883565e+00, -2.453593e-14
10, 1, -1.149081e-14, 1.092182e-14
10, 2, 8.532181e+00, -8.104628e-15
10, 3, 5.798313e-16, -1.071365e-14
10, 4, 3.472546e+00, 1.332268e-14
10, 5, 4.163336e-15, 2.142730e-14
10, 6, -1.931619e+00, 1.182388e-14
10, 7, 1.679212e-14, 3.774758e-15
10, 8, 3.129246e+00, 1.443290e-15
10, 9, 3.608225e-15, -2.955969e-15
10, 10, 1.002012e+01, -4.432565e-14
10, 11, 2.262079e-15, 1.831868e-15
10, 12, 5.253479e+00, -1.344064e-14
10, 13, -1.859624e-15, -9.020562e-15
10, 14, -2.825547e+00, 2.103873e-14
11, -14, -3.635980e-15, 2.942091e-15
11, -13, 3.469447e-18, 2.803313e-15
11, -12, 1.859624e-15, -3.608225e-15
11, -11, 7.494005e-16, 0.000000e+00
11, -10, -3.441691e-15, 6.411538e-15
11, -9, -2.154527e-15, 3.469447e-15
11, -8, -6.800116e-15, 1.595946e-14
11, -7, 2.220446e-15, -9.575674e-16
11, -6, 1.776357e-15, 7.216450e-15
11, -5, 5.676015e-15, 2.442491e-15
11, -4, 9.603429e-15, -4.246603e-15
11, -3, 4.551914e-15, 1.654232e-14
11, -2, -1.473821e-14, 1.421085e-14
11, -1, 1.998401e-15, 3.219647e-15
11, 0, -1.776357e-14, 3.100298e-14
11, 1, -1.998401e-15, 3.552714e-15
11, 2, -1.649418e-14, 1.526557e-14
11, 3, 5.995204e-15, 1.276756e-15
11, 4, 2.886580e-15, -8.208711e-15
11, 5, 6.661338e-16, 3.219647e-15
11, 6, 6.827872e-15, 5.273559e-15
11, 7, -3.719247e-15, 2.320366e-14
11, 8, -1.129652e-14, 2.330081e-14
11, 9, -8.465451e-16, -2.164935e-15
11, 10, 2.345346e-15, 1.887379e-15
11, 11, 7.216450e-16, -2.170486e-14
11, 12, -3.719247e-15, 8.604228e-16
11, 13, 1.654926e-15, 4.551914e-15
11, 14, 1.325329e-14, 3.108624e-15
12, -14, -3.236755e-01, -2.720046e-15
12, -13, -2.331468e-15, 3.358425e-15
12, -12, 6.447234e+00, 2.775558e-17
12, -11, 2.081668e-15, 3.552714e-15
12, -10, 5.253479e+00, -1.054712e-15
12, -9, 2.969847e-15, -3.913536e-15
12, -8, -2.642425e+00, 1.422473e-15
12, -7, -1.082467e-15, -4.607426e-15
12, -6, 1.737888e+00, -1.720846e-15
12, -5, -3.941292e-15, 1.249001e-15
12, -4, 1.177126e+01, -8.271162e-15
12, -3, -6.522560e-16, 6.439294e-15
12, -2, 5.028339e+00, -1.482148e-14
12, -1, -4.996004e-16, 4.322931e-15
12, 0, -4.232074e+00, 1.654232e-14
12, 1, 2.452899e-15, -9.436896e-16
12, 2, 5.028339e+00, -2.886580e-15
12, 3, -2.553513e-15, -7.008283e-15
12, 4, 1.177126e+01, -1.870726e-14
12, 5, -4.954370e-15, -5.995204e-15
12, 6, 1.737888e+00, -3.441691e-15
12, 7, -6.494805e-15, 9.700574e-15
12, 8, -2.642425e+00, 5.301315e-15
12, 9, 1.164346e-14, 9.436896e-16
12, 10, 5.253479e+00, -1.344064e-14
12, 11, -3.164136e-15, 8.326673e-16
12, 12, 6.447234e+00, -1.046385e-14
12, 13, -6.439294e-15, -3.969047e-15
12, 14, -3.236755e-01, 1.039229e-14
13, -14, 1.290634e-15, 1.026956e-15
13, -13, -6.661338e-16, 0.000000e+00
13, -12, -2.331468e-15, -3.358425e-15
13, -11, -1.075529e-16, -2.886580e-15
13, -10, -4.524159e-15, 2.067790e-15
13, -9, -2.081668e-15, -4.982126e-15
13, -8, 5.953571e-15, 5.273559e-16
13, -7, -1.076916e-14, 6.938894e-16
13, -6, 5.079270e-15, -4.163336e-16
13, -5, 1.110223e-15, -3.663736e-15
13, -4, -7.494005e-15, -1.387779e-15
13, -3, 7.188694e-15, -1.026956e-15
13, -2, 3.108624e-15, 3.295975e-15
13, -1, 2.220446e-16, 6.022960e-15
13, 0, 8.903468e-15, 0.000000e+00
13, 1, 7.022161e-15, -6.716849e-15
13, 2, -5.551115e-17, 1.772194e-14
13, 3, -1.368350e-14, -2.164935e-15
13, 4, 7.771561e-15, -7.049916e-15
13, 5, 1.026956e-15, 1.471046e-15
13, 6, -3.691492e-15, 3.150258e-15
13, 7, 2.470246e-15, -8.520962e-15
13, 8, 9.228729e-15, -3.608225e-15
13, 9, -3.053113e-16, -7.313594e-15
13, 10, -1.582068e-15, -9.048318e-15
13, 11, 1.668804e-15, 4.524159e-15
13, 12, -6.411538e-15, -3.941292e-15
13, 13, 1.360023e-15, 1.631464e-14
13, 14, 2.081668e-15, -1.378064e-14
14, -14, 6.424702e+00, -2.775558e-17
14, -13, 1.262879e-15, -1.082467e-15
14, -12, -3.236755e-01, 2.636780e-15
14, -11, -3.552714e-15, -2.969847e-15
14, -10, -2.825547e+00, -3.635980e-15
14, -9, -1.915135e-15, -2.414735e-15
14, -8, 4.153268e+00, -4.996004e-16
14, -7, -3.302913e-15, 7.494005e-16
14, -6, 7.417144e+00, -2.428613e-15
14, -5, -5.828671e-16, 1.831868e-15
14, -4, 2.907942e+00, -8.326673e-17
14, -3, -3.941292e-15, 4.177214e-15
14, -2, 1.537079e+00, 1.221245e-15
14, -1, -9.070435e-16, -7.882583e-15
14, 0, 3.110888e+00, -1.110223e-15
14, 1, 3.330669e-16, 2.164935e-15
14, 2, 1.537079e+00, 1.720846e-15
14, 3, 8.874845e-15, -5.828671e-15
14, 4, 2.907942e+00, 4.357625e-15
14, 5, -7.077672e-15, 4.177214e-15
14, 6, 7.417144e+00, -1.881828e-14
14, 7, 7.785439e-15, -2.386980e-15
14, 8, 4.153268e+00, -7.806256e-15
14, 9, -6.716849e-15, 1.168510e-14
14, 10, -2.825547e+00, 2.098322e-14
14, 11, 1.314227e-14, 3.219647e-15
14, 12, -3.236755e-01, 1.044781e-14
14, 13, 1.970646e-15, -1.386391e-14
14, 14, 6.424702e+00, -1.271205e-14
